SUBJECT,NBR,COURSE NAME,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,C-,D,F,W,AVG GPA
CSCI,343,Computer Architecture,"FLUTURE, S",33,4,5,1,3,0,0,3,2,0,0,0,15,3.361
CSCI,343,Computer Architecture,"UPADHYAY, V",35,3,5,1,1,4,3,2,7,0,0,1,8,2.878
CSCI,343,Computer Architecture,"FLUTURE, S",42,1,1,3,4,3,4,3,2,0,0,1,20,2.864
CSCI,343,Computer Architecture,"UPADHYAY, V",34,1,6,0,1,6,2,2,4,0,0,4,8,2.588
CSCI,343,Computer Architecture,"SVITAK, J",35,0,1,1,0,2,3,2,7,4,6,2,7,1.9
CSCI,343,Computer Architecture,"SVITAK, J",34,0,1,0,1,4,0,2,4,2,9,1,10,1.846
CSCI,348,Data Communications,"RAHMAN, M",32,0,1,1,2,2,1,8,6,0,0,1,10,2.427
CSCI,352,Cryptography,"BOKLAN, K",17,0,0,0,0,2,1,0,1,0,0,1,12,2.14
CSCI,355,Internet and Web Technologies,"FRIED, M",40,0,9,2,4,6,4,4,3,2,3,1,2,2.816
CSCI,355,Internet and Web Technologies,"LAW, R",31,1,2,5,2,1,2,3,3,0,0,4,8,2.539
CSCI,355,Internet and Web Technologies,"LAW, R",36,2,3,1,1,1,3,1,1,0,3,6,14,2.064
CSCI,355,Internet and Web Technologies,"LAW, R",31,2,2,1,2,0,1,2,4,0,0,11,6,1.664
CSCI,370,Software Engineering,"GOLDBERG, R",33,0,5,3,3,5,2,6,1,0,0,1,7,2.969
CSCI,370,Software Engineering,"GREENBERG, A",34,1,5,3,4,8,1,6,5,0,0,1,0,2.906
CSCI,370,Software Engineering,"GREENBERG, A",32,0,4,2,7,4,3,6,3,0,0,1,1,2.88
CSCI,370,Software Engineering,"TSAI, C",16,0,0,1,2,0,0,1,2,0,0,0,10,2.767
CSCI,370,Software Engineering,"GREENBERG, A",32,0,3,4,6,5,2,2,3,0,0,4,2,2.676
CSCI,370,Software Engineering,"ABREU, A",35,0,0,2,4,6,5,3,5,0,1,5,4,2.258
CSCI,370,Software Engineering,"ABREU, A",35,0,0,0,3,2,4,5,7,1,5,3,5,1.963
CSCI,381,VT: Special Topics in Comp Sci,"RODAY, R",36,6,11,10,5,3,1,0,0,0,0,0,0,3.7
CSCI,381,VT: Special Topics in Comp Sci,"LI, J",32,0,5,5,7,4,4,2,2,0,0,1,2,3.1
CSCI,381,VT: Special Topics in Comp Sci,"GOLDBERG, R",35,0,3,3,9,3,9,4,1,0,0,1,2,2.948
CSCI,381,VT: Special Topics in Comp Sci,"PHILLIPS, T",26,3,3,2,2,2,3,2,2,0,0,2,5,2.89
CSCI,381,VT: Special Topics in Comp Sci,"ROZOVSKAYA, A",31,1,1,1,2,2,1,2,2,0,0,1,18,2.738
CSCI,381,VT: Special Topics in Comp Sci,"TSAI, C",16,0,1,4,0,1,0,1,3,0,0,1,5,2.736
CSCI,381,VT: Special Topics in Comp Sci,"CESARETTI, P",20,0,0,2,4,1,1,4,4,0,0,0,4,2.719
CSCI,381,VT: Special Topics in Comp Sci,"WAXMAN, J",40,5,1,4,4,1,1,0,5,0,6,6,7,2.233
CSCI,381,VT: Special Topics in Comp Sci,"ROZOVSKAYA, A",35,0,2,0,1,2,3,3,2,0,0,6,16,1.911
CSCI,381,VT: Special Topics in Comp Sci,"BROWN, T",21,0,0,0,1,3,0,0,6,0,0,6,5,1.519
CSCI,111,Intro Algorithmic Problem Solv,"SCHLEY, R",236,10,30,14,8,22,8,17,25,8,13,22,49,2.494
CSCI,111,Intro Algorithmic Problem Solv,"CHYN, X",239,0,19,10,8,39,14,11,8,0,23,26,75,2.269
CSCI,111,Intro Algorithmic Problem Solv,"CHYN, X",240,0,21,11,7,28,22,7,13,0,23,26,68,2.255
CSCI,112,Intro Algori Prob Solving Java,"CONNOR, T",13,6,2,1,1,1,1,0,0,0,0,0,1,3.725
CSCI,211,Object-Oriented Program in C++,"WAXMAN, J",150,9,9,7,7,10,10,4,16,0,15,30,32,2.002
CSCI,211,Object-Oriented Program in C++,"WAXMAN, J",105,5,5,4,3,4,11,2,9,0,15,25,22,1.735
